18,5,1
18,42,1
18,11,1
18,48,1
18,30,1
18,25,1
18,19,1
18,16,1
18,12,1
18,44,1
18,43,1
18,8,1
18,2,1
18,46,1
18,23,1
18,37,1
5,42,1
5,11,1
5,48,1
5,30,1
5,25,1
5,19,1
5,16,1
5,12,1
5,44,1
5,43,1
5,8,1
5,2,1
5,46,1
5,23,1
5,37,1
42,11,1
42,48,1
42,30,1
42,25,1
42,19,1
42,16,1
42,12,1
42,44,1
42,43,1
42,8,1
42,2,1
42,46,1
42,23,1
42,37,1
11,48,1
11,30,1
11,25,1
11,19,1
11,16,1
11,12,1
11,44,1
11,43,1
11,8,1
11,2,1
11,46,1
11,23,1
11,37,1
48,30,1
48,25,1
48,19,1
48,16,1
48,12,1
48,44,1
48,43,1
48,8,1
48,2,1
48,46,1
48,23,1
48,37,1
30,25,1
30,19,1
30,16,1
30,12,1
30,44,1
30,43,1
30,8,1
30,2,1
30,46,1
30,23,1
30,37,1
25,19,1
25,16,1
25,12,1
25,44,1
25,43,1
25,8,1
25,2,1
25,46,1
25,23,1
25,37,1
19,16,1
19,12,1
19,44,1
19,43,1
19,8,1
19,2,1
19,46,1
19,23,1
19,37,1
16,12,1
16,44,1
16,43,1
16,8,1
16,2,1
16,46,1
16,23,1
16,37,1
12,44,1
12,43,1
12,8,1
12,2,1
12,46,1
12,23,1
12,37,1
44,43,1
44,8,1
44,2,1
44,46,1
44,23,1
44,37,1
43,8,1
43,2,1
43,46,1
43,23,1
43,37,1
8,2,1
8,46,1
8,23,1
8,37,1
2,46,1
2,23,1
2,37,1
46,23,1
46,37,1
23,37,1
15,43,1
15,6,1
15,37,1
15,41,1
15,20,1
15,32,1
15,36,1
15,4,1
15,38,1
15,26,1
15,24,1
15,13,1
46,11,1
11,6,1
6,47,1
47,17,1
17,21,1
21,16,1
16,36,1
36,10,1
10,8,1
8,38,1
37,35,1
37,36,1
37,44,1
37,17,1
37,46,1
37,40,1
48,35,1
48,36,1
48,44,1
48,17,1
48,46,1
48,40,1
45,35,1
45,36,1
45,44,1
45,17,1
45,46,1
45,40,1
20,35,1
20,36,1
20,44,1
20,17,1
20,46,1
20,40,1
14,35,1
14,36,1
14,44,1
14,17,1
14,46,1
14,40,1
26,1,1
26,49,1
26,31,1
